Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,100.410004,101.370003,100.120003,100.330002,97.571426,8558900
2018-05-01,100.180000,100.699997,98.930000,100.059998,97.308846,6716200
2018-05-02,100.169998,100.720001,99.250000,99.620003,96.880943,9286400
2018-05-03,99.110001,99.250000,97.680000,98.760002,96.044594,10450800
2018-05-04,98.709999,101.349998,98.580002,101.150002,98.368874,9980100
2018-05-07,102.349998,102.680000,101.720001,102.480003,99.662308,10181100
2018-05-08,101.199997,102.639999,100.839996,101.790001,98.991280,14229500
2018-05-09,102.250000,102.269997,99.300003,99.970001,97.221321,18345700
2018-05-10,100.419998,102.070000,100.300003,101.680000,98.884308,8927300
2018-05-11,101.889999,102.209999,101.260002,102.070000,99.263580,7036000
2018-05-14,102.440002,103.489998,101.980003,102.440002,99.623413,9891900
2018-05-15,102.440002,103.320000,102.099998,102.919998,100.090202,5762400
2018-05-16,103.250000,105.040001,103.150002,105.040001,102.151924,8111600
2018-05-17,105.230003,105.480003,104.089996,104.339996,101.471169,7320600
2018-05-18,104.339996,104.790001,103.559998,103.930000,101.072441,5427300
2018-05-21,104.220001,104.680000,103.610001,104.059998,101.198860,5848700
2018-05-22,104.400002,105.489998,103.989998,104.070000,101.208588,6971600
2018-05-23,103.199997,103.339996,102.070000,102.889999,100.061043,8046600
2018-05-24,102.809998,102.860001,101.209999,102.110001,99.302483,7474100
2018-05-25,102.250000,103.000000,101.970001,102.199997,99.389999,6982700
2018-05-29,100.550003,101.650002,99.379997,99.690002,96.949020,11270400
2018-05-30,100.500000,100.550003,99.419998,99.980003,97.231049,7216400
2018-05-31,99.760002,100.139999,98.809998,99.470001,96.735069,9620000
2018-06-01,99.690002,100.050003,99.199997,99.360001,96.628090,6847700
2018-06-04,99.760002,100.500000,99.699997,100.239998,97.483894,6598000
2018-06-05,100.360001,100.510002,99.779999,99.940002,97.192146,5974400
2018-06-06,100.059998,101.940002,99.760002,101.910004,99.107979,7833000
2018-06-07,101.910004,102.959999,101.809998,102.470001,99.652580,7559200
2018-06-08,102.089996,103.989998,101.830002,103.980003,101.121071,7090300
2018-06-11,103.930000,104.790001,103.750000,104.349998,101.480896,8175000
2018-06-12,104.730003,105.220001,103.959999,104.330002,101.461449,9215300
2018-06-13,103.199997,107.879997,102.669998,106.309998,103.387001,22009400
2018-06-14,106.449997,109.489998,106.449997,108.750000,105.759918,18068700
2018-06-15,108.169998,109.419998,107.849998,108.849998,105.857170,16169200
2018-06-18,107.000000,107.480003,106.500000,107.059998,104.116379,9288600
2018-06-19,105.870003,106.989998,105.760002,106.099998,103.182777,8869500
2018-06-20,107.000000,107.900002,105.809998,107.150002,104.203903,18625900
2018-06-21,107.010002,107.250000,105.790001,105.889999,102.978546,7707800
2018-06-22,106.070000,106.800003,105.809998,106.339996,103.416168,8959100
2018-06-25,106.000000,106.080002,103.739998,104.449997,101.578140,7995800
2018-06-26,104.459999,104.709999,103.910004,104.260002,101.393364,6550000
2018-06-27,104.500000,105.879997,103.480003,103.959999,101.101616,8803300
2018-06-28,103.910004,105.120003,103.680000,104.769997,101.889351,6303600
2018-06-29,104.930000,105.680000,104.650002,104.809998,101.928246,6774000
2018-07-02,104.150002,105.370003,103.900002,105.330002,102.433945,5488900
2018-07-03,105.879997,105.949997,103.500000,104.040001,101.179420,2406300
2018-07-05,104.699997,105.599998,104.430000,105.339996,102.443672,6202800
2018-07-06,104.500000,105.040001,104.040001,104.779999,102.718170,4134500
2018-07-09,105.010002,106.070000,104.750000,106.019997,103.933762,4725200
2018-07-10,106.250000,106.570000,104.830002,106.029999,103.943565,4213600
2018-07-11,105.320000,109.339996,105.320000,108.040001,105.914017,11753800
2018-07-12,108.050003,109.199997,107.820000,108.250000,106.119888,5931400
